filename,category,source_file,n_samples,duration_ms,sample_rate,rms_db,status
dog.wav,dog,1-100032-A-0.wav,9600,200,48000,-20.0,OK
pig.wav,pig,1-208757-A-2.wav,9600,200,48000,-20.0,OK
cow.wav,cow,1-16568-A-3.wav,9600,200,48000,-20.0,OK
frog.wav,frog,1-15689-A-4.wav,9600,200,48000,-20.0,OK
cat.wav,cat,1-34094-A-5.wav,9600,200,48000,-20.0,OK
insects.wav,insects,1-17585-A-7.wav,9600,200,48000,-20.0,OK
sheep.wav,sheep,1-121951-A-8.wav,9600,200,48000,-20.0,OK
laughing.wav,laughing,1-1791-A-26.wav,9600,200,48000,-20.0,OK
sneezing.wav,sneezing,1-26143-A-21.wav,9600,200,48000,-20.0,OK
crying_baby.wav,crying_baby,1-187207-A-20.wav,9600,200,48000,-20.0,OK
breathing.wav,breathing,1-18631-A-23.wav,9600,200,48000,-20.0,OK
clapping.wav,clapping,1-104089-A-22.wav,9600,200,48000,-20.0,OK
footsteps.wav,footsteps,1-155858-A-25.wav,9600,200,48000,-20.0,OK
door_wood_knock.wav,door_wood_knock,1-101336-A-30.wav,9600,200,48000,-20.0,OK
mouse_click.wav,mouse_click,1-118206-A-31.wav,9600,200,48000,-20.0,OK
keyboard_typing.wav,keyboard_typing,1-137-A-32.wav,9600,200,48000,-20.0,OK
door_wood_creaks.wav,door_wood_creaks,1-51805-A-33.wav,9600,200,48000,-20.0,OK
can_opening.wav,can_opening,1-101404-A-34.wav,9600,200,48000,-20.0,OK
washing_machine.wav,washing_machine,1-21896-A-35.wav,9600,200,48000,-20.0,OK
vacuum_cleaner.wav,vacuum_cleaner,1-100210-A-36.wav,9600,200,48000,-20.0,OK
clock_alarm.wav,clock_alarm,1-13613-A-37.wav,9600,200,48000,-20.0,OK
drinking_sipping.wav,drinking_sipping,1-17295-A-29.wav,9600,200,48000,-20.0,OK
crickets.wav,crickets,1-57316-A-13.wav,9600,200,48000,-20.0,OK
chirping_birds.wav,chirping_birds,1-100038-A-14.wav,9600,200,48000,-20.0,OK
wind.wav,wind,1-137296-A-16.wav,9600,200,48000,-20.0,OK
water_drops.wav,water_drops,1-12653-A-15.wav,9600,200,48000,-20.0,OK
pouring_water.wav,pouring_water,1-118559-A-17.wav,9600,200,48000,-20.0,OK
rain.wav,rain,1-17367-A-10.wav,9600,200,48000,-20.0,OK
crackling_fire.wav,crackling_fire,1-17150-A-12.wav,9600,200,48000,-20.0,OK
helicopter.wav,helicopter,1-172649-A-40.wav,9600,200,48000,-20.0,OK
engine.wav,engine,1-18527-A-44.wav,9600,200,48000,-20.0,OK
train.wav,train,1-119125-A-45.wav,9600,200,48000,-20.0,OK
church_bells.wav,church_bells,1-13571-A-46.wav,9600,200,48000,-20.0,OK
fireworks.wav,fireworks,1-115545-A-48.wav,9600,200,48000,-20.0,OK
car_horn.wav,car_horn,1-17124-A-43.wav,9600,200,48000,-20.0,OK
siren.wav,siren,1-31482-A-42.wav,9600,200,48000,-20.0,OK
chainsaw.wav,chainsaw,1-116765-A-41.wav,9600,200,48000,-20.0,OK
hand_saw.wav,hand_saw,1-18810-A-49.wav,9600,200,48000,-20.0,OK
toilet_flush.wav,toilet_flush,1-20736-A-18.wav,9600,200,48000,-20.0,OK
brushing_teeth.wav,brushing_teeth,1-17092-A-27.wav,9600,200,48000,-20.0,OK
